"id","bedrooms","square_footage_min","square_footage_max","flow_gpd"
876,28,8552,9301,1840
877,28,9302,10051,1840
878,28,10052,10801,1840
879,28,10802,11551,1840
880,28,11552,12301,1840
881,28,12302,13051,1840
882,28,13052,13801,1840
883,28,13802,14551,1840
884,28,14552,15301,1840
885,28,15302,16051,1840
886,28,16052,16801,1840
887,28,16802,17551,1840
888,28,17552,18301,1840
889,28,18302,19051,1840
890,28,19052,19801,1840
891,28,19802,20551,1840
892,28,20552,21301,1840
893,28,21302,22051,1900
894,28,22052,22801,1960
895,28,22802,23551,2020
896,28,23552,24301,2080
897,29,0,750,1900
898,29,751,1200,1900
899,29,1201,2250,1900
900,29,2251,3300,1900
901,29,3301,4051,1900
902,29,4052,4801,1900
903,29,4802,5551,1900
904,29,5552,6301,1900
905,29,6302,7051,1900
906,29,7052,7801,1900
907,29,7802,8551,1900
908,29,8552,9301,1900
909,29,9302,10051,1900
910,29,10052,10801,1900
911,29,10802,11551,1900
912,29,11552,12301,1900
913,29,12302,13051,1900
914,29,13052,13801,1900
915,29,13802,14551,1900
916,29,14552,15301,1900
917,29,15302,16051,1900
918,29,16052,16801,1900
919,29,16802,17551,1900
920,29,17552,18301,1900
921,29,18302,19051,1900
922,29,19052,19801,1900
923,29,19802,20551,1900
924,29,20552,21301,1900
925,29,21302,22051,1900
926,29,22052,22801,1960
927,29,22802,23551,2020
928,29,23552,24301,2080
929,30,0,750,1960
930,30,751,1200,1960
931,30,1201,2250,1960
932,30,2251,3300,1960
933,30,3301,4051,1960
934,30,4052,4801,1960
935,30,4802,5551,1960
936,30,5552,6301,1960
937,30,6302,7051,1960
938,30,7052,7801,1960
939,30,7802,8551,1960
940,30,8552,9301,1960
941,30,9302,10051,1960
942,30,10052,10801,1960
943,30,10802,11551,1960
944,30,11552,12301,1960
945,30,12302,13051,1960
946,30,13052,13801,1960
947,30,13802,14551,1960
948,30,14552,15301,1960
949,30,15302,16051,1960
950,30,16052,16801,1960
951,30,16802,17551,1960
952,30,17552,18301,1960
953,30,18302,19051,1960
954,30,19052,19801,1960
955,30,19802,20551,1960
956,30,20552,21301,1960
957,30,21302,22051,1960
958,30,22052,22801,1960
959,30,22802,23551,2020
960,30,23552,24301,2080
961,31,0,750,2020
962,31,751,1200,2020
963,31,1201,2250,2020
964,31,2251,3300,2020
965,31,3301,4051,2020
966,31,4052,4801,2020
967,31,4802,5551,2020
968,31,5552,6301,2020
969,31,6302,7051,2020
970,31,7052,7801,2020
971,31,7802,8551,2020
972,31,8552,9301,2020
973,31,9302,10051,2020
974,31,10052,10801,2020
975,31,10802,11551,2020
976,31,11552,12301,2020
977,31,12302,13051,2020
978,31,13052,13801,2020
979,31,13802,14551,2020
980,31,14552,15301,2020
981,31,15302,16051,2020
982,31,16052,16801,2020
983,31,16802,17551,2020
984,31,17552,18301,2020
985,31,18302,19051,2020
986,31,19052,19801,2020
987,31,19802,20551,2020
988,31,20552,21301,2020
989,31,21302,22051,2020
990,31,22052,22801,2020
991,31,22802,23551,2020
992,31,23552,24301,2080
993,32,0,750,2080
994,32,751,1200,2080
995,32,1201,2250,2080
996,32,2251,3300,2080
997,32,3301,4051,2080
998,32,4052,4801,2080
999,32,4802,5551,2080
1000,32,5552,6301,2080
1001,32,6302,7051,2080
1002,32,7052,7801,2080
1003,32,7802,8551,2080
1004,32,8552,9301,2080
1005,32,9302,10051,2080
1006,32,10052,10801,2080
1007,32,10802,11551,2080
1008,32,11552,12301,2080
1009,32,12302,13051,2080
1010,32,13052,13801,2080
1011,32,13802,14551,2080
1012,32,14552,15301,2080
1013,32,15302,16051,2080
1014,32,16052,16801,2080
1015,32,16802,17551,2080
1016,32,17552,18301,2080
1017,32,18302,19051,2080
1018,32,19052,19801,2080
1019,32,19802,20551,2080
1020,32,20552,21301,2080
1021,32,21302,22051,2080
1022,32,22052,22801,2080
1023,32,22802,23551,2080
1024,32,23552,24301,2080
